Date,P/E Ratio,Closing Price,Open,Low,High,Volume
9/1/2021,25.35,4524.09,4528.8,4522.02,4537.11,3101830000
8/1/2021,26.23,4387.16,#N/A,#N/A,#N/A,#N/A
7/1/2021,26.56,4319.94,4300.73,4300.73,4320.66,3077580000
6/1/2021,26.7,4202.04,4216.52,4197.59,4234.12,4122960000
5/1/2021,28.05,4192.66,#N/A,#N/A,#N/A,#N/A
4/1/2021,29.92,4019.87,3992.78,3992.78,4020.63,4151240000
3/1/2021,30.5,3901.82,3842.51,3842.51,3914.5,5071540000
2/1/2021,33.24,3773.86,3731.17,3725.62,3784.32,5392870000
1/1/2021,35.96,3700.65,#N/A,#N/A,#N/A,#N/A
12/1/2020,39.26,3662.45,3645.87,3645.87,3678.45,5403660000
11/1/2020,37.16,3310.24,#N/A,#N/A,#N/A,#N/A
10/1/2020,35.3,3380.8,3385.87,3361.39,3397.18,4070530000
9/1/2020,34.27,3526.65,3507.44,3494.6,3528.03,4083110000
8/1/2020,34.41,3294.61,#N/A,#N/A,#N/A,#N/A
7/1/2020,32.44,3115.86,3105.92,3101.17,3128.44,4443130000
6/1/2020,31.29,3055.73,3038.78,3031.54,3062.18,4673410000
5/1/2020,27.82,2830.71,2869.09,2821.61,2869.09,4753160000
4/1/2020,24.97,2470.5,2498.08,2447.49,2522.75,5947900000
3/1/2020,22.8,3090.23,#N/A,#N/A,#N/A,#N/A
2/1/2020,26.42,3248.92,#N/A,#N/A,#N/A,#N/A
1/1/2020,24.88,3257.85,#N/A,#N/A,#N/A,#N/A
12/1/2019,22.78,3113.87,#N/A,#N/A,#N/A,#N/A
11/1/2019,22.62,3066.91,3050.72,3050.72,3066.95,3930200000
10/1/2019,22.04,2940.25,2983.69,2938.7,2992.53,3558040000
9/1/2019,22.44,2906.27,#N/A,#N/A,#N/A,#N/A
8/1/2019,21.67,2953.56,2980.32,2945.23,3013.59,4762300000
7/1/2019,22.28,2964.33,2971.41,2952.22,2977.93,3513270000
6/1/2019,21.37,2744.45,#N/A,#N/A,#N/A,#N/A
5/1/2019,21.15,2923.73,2952.33,2923.36,2954.13,3645850000
4/1/2019,21.56,2867.19,2848.63,2848.63,2869.4,3500760000
3/1/2019,20.86,2803.69,2798.22,2787.38,2808.02,3972280000
2/1/2019,20.6,2706.53,2702.32,2696.88,2716.66,3759270000
1/1/2019,19.6,2510.03,#N/A,#N/A,#N/A,#N/A
